Period,Estimated Solar Generation (kWh)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0.001
17,0.003
18,0.005
19,0.007
20,0.008
21,0.01
22,0.011
23,0.012
24,0.013
25,0.014
26,0.014
27,0.014
28,0.013
29,0.012
30,0.011
31,0.01
32,0.008
33,0.007
34,0.006
35,0.004
36,0.003
37,0.001
38,0.001
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
